CVE_ENT,NOM_ENT,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,OVSDSE,IM,GM,IND0A100,LUGAR,AÑO
20,Oaxaca,3019560,27.54,56.7,45.49,23.81,42.21,69.94,52.51,69.62,78.73,-,2.06,Muy alto,-,2,1990
21,Puebla,4126101,19.22,44.9,35.49,15.47,29.22,64.48,30.02,46.45,72.41,-,0.83,Muy alto,-,6,1990
22,Querétaro,1051235,15.37,39.6,34.89,15.65,16.43,56.47,16.75,47.68,60.46,-,0.16,Alto,-,14,1990
23,Quintana Roo,493277,12.3,38.8,17.29,15.39,10.49,63.36,23.19,33.39,49.17,-,-0.19,Medio,-,19,1990
24,San Luis Potosí,2003187,14.95,44.51,25.3,27.98,33.77,55.91,29.69,49.9,71.14,-,0.75,Alto,-,7,1990
25,Sinaloa,2204054,9.86,37.4,18.75,8.99,19.45,60.71,23.68,43.46,55.61,-,-0.14,Medio,-,18,1990
26,Sonora,1823606,5.62,29.08,7.72,9.24,8.52,54.38,18.18,25.99,52.7,-,-0.86,Bajo,-,25,1990
27,Tabasco,1501744,12.67,43.94,16.83,15.45,43.82,65.64,13.82,57.52,65.49,-,0.52,Alto,-,9,1990
28,Tamaulipas,2249581,6.86,32.15,6.51,15.9,18.66,53.03,13.81,21.51,61.07,-,-0.61,Bajo,-,22,1990
29,Tlaxcala,761277,11.13,33.6,30.67,5.64,8.73,67.49,14.24,38.73,72.33,-,-0.04,Medio,-,16,1990
30,Veracruz de Ignacio de la Llave,6228239,18.26,47.59,26.44,27.17,41.91,63.43,35.9,50.39,71.85,-,1.13,Muy alto,-,5,1990
31,Yucatán,1362940,15.86,47.82,30.07,9.2,29.35,61.05,18.6,32.36,73.61,-,0.4,Alto,-,11,1990
32,Zacatecas,1276323,9.88,49.13,43.65,13.3,24.69,57.18,16.86,62.06,72.7,-,0.57,Alto,-,8,1990
1,Aguascalientes,862720,5.62,22.04,4.26,2.68,1.96,55.96,4.04,25.49,53.79,-,-1.05,Muy Bajo,-,28,1995
2,Baja California,2112140,3.97,17.82,0.46,4.5,13.15,56.13,6.95,10.9,40.53,-,-1.27,Muy Bajo,-,30,1995
3,Baja California Sur,375494,4.92,19.66,2.32,6.97,9.01,58.6,12.39,26.16,50.55,-,-0.84,Bajo,-,26,1995
4,Campeche,642516,13.8,28.05,27.96,11.82,21.61,73.05,20.69,35.32,74,-,0.78,Alto,-,8,1995
5,Coahuila de Zaragoza,2173775,4.82,17.72,5.23,2.36,5.34,56.34,5.43,14.69,54.57,-,-1.18,Muy Bajo,-,29,1995
6,Colima,488028,8.63,23.33,3.53,2.85,4.09,60.06,15.51,19.15,57.98,-,-0.71,Bajo,-,23,1995
7,Chiapas,3584786,26.07,34.93,27.58,22.78,34.22,81.8,42.32,62.95,81.99,-,2.36,Muy Alto,-,1,1995
8,Chihuahua,2793537,5.38,22.52,6,8.46,8.13,54.44,9.56,21.91,56.39,-,-0.78,Bajo,-,25,1995
