iteracion, tot_iter, rss_train, rss_val, grad_norm, lr, tiempo
135,200, 1.304866, 1.304936, 2.100533 ,0.000000, 8.787570
136,200, 1.304865, 1.304936, 2.291619 ,0.000000, 8.853716
137,200, 1.304865, 1.304936, 1.667627 ,0.000000, 8.920548
138,200, 1.304865, 1.304936, 1.604739 ,0.000000, 8.987153
139,200, 1.304865, 1.304936, 2.439093 ,0.000000, 9.053691
140,200, 1.304865, 1.304936, 1.845229 ,0.000000, 9.119628
141,200, 1.304865, 1.304936, 1.907785 ,0.000000, 9.183597
142,200, 1.304865, 1.304936, 1.624409 ,0.000000, 9.249183
143,200, 1.304865, 1.304936, 3.006833 ,0.000000, 9.313597
144,200, 1.304865, 1.304936, 1.349292 ,0.000000, 9.378839
145,200, 1.304865, 1.304936, 1.210448 ,0.000000, 9.446055
146,200, 1.304865, 1.304936, 2.135560 ,0.000000, 9.512622
147,200, 1.304865, 1.304936, 1.493888 ,0.000000, 9.578863
148,200, 1.304865, 1.304936, 1.479895 ,0.000000, 9.645401
149,200, 1.304865, 1.304936, 2.014314 ,0.000000, 9.712546
150,200, 1.304865, 1.304936, 2.310353 ,0.000000, 9.777855
151,200, 1.304865, 1.304936, 1.917075 ,0.000000, 9.842916
152,200, 1.304865, 1.304936, 1.772069 ,0.000000, 9.909292
153,200, 1.304865, 1.304936, 1.454309 ,0.000000, 9.973756
154,200, 1.304865, 1.304936, 1.977130 ,0.000000, 10.039539
155,200, 1.304865, 1.304936, 1.311642 ,0.000000, 10.103802
156,200, 1.304865, 1.304936, 1.487987 ,0.000000, 10.169642
157,200, 1.304865, 1.304936, 1.928255 ,0.000000, 10.234374
158,200, 1.304865, 1.304936, 2.144565 ,0.000000, 10.299578
159,200, 1.304865, 1.304936, 2.882477 ,0.000000, 10.364928
160,200, 1.304865, 1.304935, 1.645039 ,0.000000, 10.431548
161,200, 1.304865, 1.304935, 2.684179 ,0.000000, 10.496403
162,200, 1.304865, 1.304935, 2.072285 ,0.000000, 10.560966
163,200, 1.304865, 1.304935, 2.220453 ,0.000000, 10.627033
164,200, 1.304865, 1.304935, 1.760504 ,0.000000, 10.691606
165,200, 1.304865, 1.304935, 1.233390 ,0.000000, 10.757231
166,200, 1.304865, 1.304935, 1.329314 ,0.000000, 10.822306
167,200, 1.304865, 1.304935, 1.901774 ,0.000000, 10.888209
168,200, 1.304865, 1.304935, 2.204563 ,0.000000, 10.954162
169,200, 1.304865, 1.304935, 1.775185 ,0.000000, 11.019593
170,200, 1.304865, 1.304935, 2.430246 ,0.000000, 11.083806
171,200, 1.304864, 1.304935, 1.463783 ,0.000000, 11.149800
172,200, 1.304864, 1.304935, 1.975052 ,0.000000, 11.216048
173,200, 1.304864, 1.304935, 1.359938 ,0.000000, 11.289814
174,200, 1.304864, 1.304935, 1.702880 ,0.000000, 11.355743
175,200, 1.304864, 1.304935, 2.765779 ,0.000000, 11.421416
176,200, 1.304864, 1.304935, 1.758827 ,0.000000, 11.485474
177,200, 1.304864, 1.304935, 1.687513 ,0.000000, 11.549829
178,200, 1.304864, 1.304935, 1.570904 ,0.000000, 11.614065
179,200, 1.304864, 1.304935, 1.635448 ,0.000000, 11.680098
180,200, 1.304864, 1.304935, 2.042839 ,0.000000, 11.745030
181,200, 1.304864, 1.304935, 1.798703 ,0.000000, 11.810966
182,200, 1.304864, 1.304935, 1.179152 ,0.000000, 11.875470
183,200, 1.304864, 1.304935, 1.756582 ,0.000000, 11.940029
184,200, 1.304864, 1.304935, 1.842844 ,0.000000, 12.006418
185,200, 1.304864, 1.304935, 2.539993 ,0.000000, 12.071959
186,200, 1.304864, 1.304935, 1.335862 ,0.000000, 12.138085
187,200, 1.304864, 1.304935, 1.481864 ,0.000000, 12.203701
188,200, 1.304864, 1.304935, 1.861411 ,0.000000, 12.270296
189,200, 1.304864, 1.304935, 2.326516 ,0.000000, 12.337486
190,200, 1.304864, 1.304935, 1.549225 ,0.000000, 12.404224
191,200, 1.304864, 1.304935, 1.623785 ,0.000000, 12.468816
192,200, 1.304864, 1.304935, 0.988569 ,0.000000, 12.535669
193,200, 1.304864, 1.304935, 1.678281 ,0.000000, 12.602245
194,200, 1.304864, 1.304935, 2.569590 ,0.000000, 12.667818
195,200, 1.304864, 1.304935, 1.518723 ,0.000000, 12.734252
196,200, 1.304864, 1.304935, 1.570483 ,0.000000, 12.798539
